"F1: 0.83721","Precision: 0.83721","Recall: 0.83721"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","54","Korea","http://dbpedia.org/resource/South_Korea","http://dbpedia.org/resource/Languages_of_Korea http://dbpedia.org/resource/Hanguk http://dbpedia.org/resource/Korean_population http://dbpedia.org/resource/Korea http://dbpedia.org/resource/Kumsu_Kangsan http://dbpedia.org/resource/Coreanic http://dbpedia.org/resource/한국 http://dbpedia.org/resource/Han'guk http://dbpedia.org/resource/Greater_Corea http://dbpedia.org/resource/Etymology_of_Korea http://dbpedia.org/resource/Languages_of_Corea http://dbpedia.org/resource/KOREA http://dbpedia.org/resource/Han-guk http://dbpedia.org/resource/Coreanist http://dbpedia.org/resource/Hangook http://dbpedia.org/resource/Hangug http://dbpedia.org/resource/Korean_civilization http://dbpedia.org/resource/Korea's http://dbpedia.org/resource/Hankuk http://dbpedia.org/resource/Geumsu_Gangsan http://dbpedia.org/resource/Daehan http://dbpedia.org/resource/ISO_3166-2:KR/KP http://dbpedia.org/resource/Corée http://dbpedia.org/resource/Koreas"
"1","55","Dutch East Indies","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/The_Dutch_East_Indies http://dbpedia.org/resource/Dutch_east_Indies http://dbpedia.org/resource/Hindia-Belanda http://dbpedia.org/resource/Nederlands-Indië http://dbpedia.org/resource/Dutch_Indonesia http://dbpedia.org/resource/Dutch_East_Indies http://dbpedia.org/resource/Nederlandsch_Indische http://dbpedia.org/resource/Netherlands_East-Indies http://dbpedia.org/resource/Netherlands_East_Indies http://dbpedia.org/resource/Dutch_Indies http://dbpedia.org/resource/Dutch_East-Indies http://dbpedia.org/resource/Netherlands_Indies http://dbpedia.org/resource/Tempo_Doeloe http://dbpedia.org/resource/Dutch_Indochina http://dbpedia.org/resource/Dutch_east_indies"
"1","62","Dutch East Indies","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/The_Dutch_East_Indies http://dbpedia.org/resource/Dutch_east_Indies http://dbpedia.org/resource/Hindia-Belanda http://dbpedia.org/resource/Nederlands-Indië http://dbpedia.org/resource/Dutch_Indonesia http://dbpedia.org/resource/Dutch_East_Indies http://dbpedia.org/resource/Nederlandsch_Indische http://dbpedia.org/resource/Netherlands_East-Indies http://dbpedia.org/resource/Netherlands_East_Indies http://dbpedia.org/resource/Dutch_Indies http://dbpedia.org/resource/Dutch_East-Indies http://dbpedia.org/resource/Netherlands_Indies http://dbpedia.org/resource/Tempo_Doeloe http://dbpedia.org/resource/Dutch_Indochina http://dbpedia.org/resource/Dutch_east_indies"
"1","67","Gulf of Mexico","http://dbpedia.org/resource/Mexico","http://dbpedia.org/resource/Gulf_of_mexico http://dbpedia.org/resource/Mexico_Gulf http://dbpedia.org/resource/Golfo_de_Mexico http://dbpedia.org/resource/Pollution_in_the_Gulf_of_Mexico http://dbpedia.org/resource/Golfo_de_México http://dbpedia.org/resource/Mexican_Gulf http://dbpedia.org/resource/Mexico,_Gulf_of http://dbpedia.org/resource/Gulf_Of_Mexico http://dbpedia.org/resource/Mexican_gulf http://dbpedia.org/resource/Gulf_of_Florida http://dbpedia.org/resource/Gulf_of_Mexico http://dbpedia.org/resource/Pollution_of_the_Gulf_of_Mexico http://dbpedia.org/resource/Gulf_of_México http://dbpedia.org/resource/The_Gulf_of_Mexico http://dbpedia.org/resource/Gulph_of_Mexico http://dbpedia.org/resource/The_Gulf_of_mexico"
"1","76","Dutch East Indies","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/The_Dutch_East_Indies http://dbpedia.org/resource/Dutch_east_Indies http://dbpedia.org/resource/Hindia-Belanda http://dbpedia.org/resource/Nederlands-Indië http://dbpedia.org/resource/Dutch_Indonesia http://dbpedia.org/resource/Dutch_East_Indies http://dbpedia.org/resource/Nederlandsch_Indische http://dbpedia.org/resource/Netherlands_East-Indies http://dbpedia.org/resource/Netherlands_East_Indies http://dbpedia.org/resource/Dutch_Indies http://dbpedia.org/resource/Dutch_East-Indies http://dbpedia.org/resource/Netherlands_Indies http://dbpedia.org/resource/Tempo_Doeloe http://dbpedia.org/resource/Dutch_Indochina http://dbpedia.org/resource/Dutch_east_indies"
"1","77","North Island","http://dbpedia.org/resource/Rhode_Island","http://dbpedia.org/resource/North_Island http://dbpedia.org/resource/North_Island,_NZ http://dbpedia.org/resource/North_Island_New_Zealand http://dbpedia.org/resource/The_North_Island_Of_New_Zealand http://dbpedia.org/resource/North_Island,_New_Zealand http://dbpedia.org/resource/North_Island_(New_Zealand) http://dbpedia.org/resource/North_Island_of_New_Zealand http://dbpedia.org/resource/North_Island_NZ http://dbpedia.org/resource/North_island http://dbpedia.org/resource/New_Zealand_-_North_Island http://dbpedia.org/resource/Northland_temperate_kauri_forests"
"1","85","United States","http://dbpedia.org/resource/Contiguous_United_States","http://dbpedia.org/resource/United_States http://dbpedia.org/resource/United_Sates http://dbpedia.org/resource/VS_America http://dbpedia.org/resource/The_United_States_of_America. http://dbpedia.org/resource/United-States http://dbpedia.org/resource/Amurica http://dbpedia.org/resource/Los_Estados_Unidos http://dbpedia.org/resource/THE_UNITED_STATES_OF_AMERICA http://dbpedia.org/resource/U_S http://dbpedia.org/resource/The_Usa http://dbpedia.org/resource/U.S.American http://dbpedia.org/resource/USoA http://dbpedia.org/resource/'murica http://dbpedia.org/resource/Untied_States http://dbpedia.org/resource/Unite_states_of_america http://dbpedia.org/resource/US_and_A http://dbpedia.org/resource/United_States_of_American http://dbpedia.org/resource/US_of_america http://dbpedia.org/resource/The_U._States_of_America http://dbpedia.org/resource/Estados_Unidos_de_América http://dbpedia.org/resource/United_States_(country) http://dbpedia.org/resource/US_of_America http://dbpedia.org/resource/These_United_States_of_America http://dbpedia.org/resource/U.S._A http://dbpedia.org/resource/United_States_of_America_(redirect) http://dbpedia.org/resource/(USA) http://dbpedia.org/resource/U.S http://dbpedia.org/resource/U.s. http://dbpedia.org/resource/Nagkaisang_mga_Estado http://dbpedia.org/resource/Etats-Unis_d'Amerique http://dbpedia.org/resource/United_states http://dbpedia.org/resource/U.S._OF_A http://dbpedia.org/resource/Estatos_Unitos http://dbpedia.org/resource/America_(USA) http://dbpedia.org/resource/US_(country) http://dbpedia.org/resource/Nited_States http://dbpedia.org/resource/United+States+of+America http://dbpedia.org/resource/Usa http://dbpedia.org/resource/'merica http://dbpedia.org/resource/US http://dbpedia.org/resource/Los_Estados_Unidos_de_América http://dbpedia.org/resource/The_United_States http://dbpedia.org/resource/U.S.A.) http://dbpedia.org/resource/EEUU http://dbpedia.org/resource/États-Unis_d'Amérique http://dbpedia.org/resource/America_(US) http://dbpedia.org/resource/United_States_of_America_(U.S.A.) http://dbpedia.org/resource/EE._UU. http://dbpedia.org/resource/Name_of_the_United_States http://dbpedia.org/resource/U.S._America http://dbpedia.org/resource/United_States_(of_America) http://dbpedia.org/resource/The_US_of_america http://dbpedia.org/resource/U,S, http://dbpedia.org/resource/United_States_Of_Amerca http://dbpedia.org/resource/US_America http://dbpedia.org/resource/EE_UU http://dbpedia.org/resource/Etymology_of_the_United_States http://dbpedia.org/resource/United_States_of_America/OldPage http://dbpedia.org/resource/Unietd_States http://dbpedia.org/resource/U.S._of_A. http://dbpedia.org/resource/UNITED_STATES_OF_AMERICA http://dbpedia.org/resource/(US) http://dbpedia.org/resource/United_Staets_of_America http://dbpedia.org/resource/THE_AMERICAN_UNITED_STATES http://dbpedia.org/resource/American_occupation_of_the_United_States http://dbpedia.org/resource/V.S._Amerika http://dbpedia.org/resource/The_US_of_America http://dbpedia.org/resource/America_(United_States_of) http://dbpedia.org/resource/United_State_of_America http://dbpedia.org/resource/United_States_of_America http://dbpedia.org/resource/VS_Amerika http://dbpedia.org/resource/America,_United_States_of http://dbpedia.org/resource/U.S. http://dbpedia.org/resource/United_States_Of_America http://dbpedia.org/resource/Estados_Unidos_de_America http://dbpedia.org/resource/Us_of_a http://dbpedia.org/resource/Estados_Unidos http://dbpedia.org/resource/ISO_3166-1:US http://dbpedia.org/resource/United_states_of_America http://dbpedia.org/resource/United_sates http://dbpedia.org/resource/U.S.A http://dbpedia.org/resource/Unitesd_states http://dbpedia.org/resource/UnitedStates http://dbpedia.org/resource/Amurika http://dbpedia.org/resource/The_USA http://dbpedia.org/resource/Unites_States http://dbpedia.org/resource/U.S.A. http://dbpedia.org/resource/Federal_United_States http://dbpedia.org/resource/United_states_of_america http://dbpedia.org/resource/The_united_states_of_america http://dbpedia.org/resource/US_of_A http://dbpedia.org/resource/U._S. http://dbpedia.org/resource/USA http://dbpedia.org/resource/Amercia http://dbpedia.org/resource/American_United_States http://dbpedia.org/resource/United_States_(U.S.A.) http://dbpedia.org/resource/U.S._of_A http://dbpedia.org/resource/America_(United_States) http://dbpedia.org/resource/United_States_America http://dbpedia.org/resource/Amiercan http://dbpedia.org/resource/The_US_of_A http://dbpedia.org/resource/The_Unites_States_of_America http://dbpedia.org/resource/UNITED_STATES http://dbpedia.org/resource/Unitd_states http://dbpedia.org/resource/States_of_America http://dbpedia.org/resource/United+States http://dbpedia.org/resource/U.S._of_America http://dbpedia.org/resource/United_States_of_America. http://dbpedia.org/resource/Etats-Unis http://dbpedia.org/resource/Vereinigte_Staaten http://dbpedia.org/resource/V.S._America http://dbpedia.org/resource/United_state_of_america http://dbpedia.org/resource/Amarica http://dbpedia.org/resource/Stati_Uniti_d'America http://dbpedia.org/resource/Estaos_Unios http://dbpedia.org/resource/The_Us http://dbpedia.org/resource/USofA http://dbpedia.org/resource/United_States_(US) http://dbpedia.org/resource/United_Stated http://dbpedia.org/resource/Americaland http://dbpedia.org/resource/Amerka http://dbpedia.org/resource/Estados_unidos http://dbpedia.org/resource/America_(country) http://dbpedia.org/resource/Untied_States_of_America http://dbpedia.org/resource/UNited_States http://dbpedia.org/resource/U._S._of_A. http://dbpedia.org/resource/EE.UU. http://dbpedia.org/resource/America http://dbpedia.org/resource/U_S_A http://dbpedia.org/resource/Americia http://dbpedia.org/resource/The_United_States_of_America http://dbpedia.org/resource/Unite_States http://dbpedia.org/resource/The_United_States_Of_America http://dbpedia.org/resource/Americophile http://dbpedia.org/resource/Estaos_Uníos http://dbpedia.org/resource/États-Unis http://dbpedia.org/resource/United_States_of_America_(USA) http://dbpedia.org/resource/The_U.S. http://dbpedia.org/resource/The_US http://dbpedia.org/resource/United_States/Introduction http://dbpedia.org/resource/U._S._A. http://dbpedia.org/resource/United_States_(U.S.) http://dbpedia.org/resource/U.s.a. http://dbpedia.org/resource/United_States_of_America/Introduction"
"1","87","Dutch East Indies","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/The_Dutch_East_Indies http://dbpedia.org/resource/Dutch_east_Indies http://dbpedia.org/resource/Hindia-Belanda http://dbpedia.org/resource/Nederlands-Indië http://dbpedia.org/resource/Dutch_Indonesia http://dbpedia.org/resource/Dutch_East_Indies http://dbpedia.org/resource/Nederlandsch_Indische http://dbpedia.org/resource/Netherlands_East-Indies http://dbpedia.org/resource/Netherlands_East_Indies http://dbpedia.org/resource/Dutch_Indies http://dbpedia.org/resource/Dutch_East-Indies http://dbpedia.org/resource/Netherlands_Indies http://dbpedia.org/resource/Tempo_Doeloe http://dbpedia.org/resource/Dutch_Indochina http://dbpedia.org/resource/Dutch_east_indies"
"1","93","Tristan da Cunha","http://dbpedia.org/resource/Saint_Helena,_Ascension_and_Tristan_da_Cunha","http://dbpedia.org/resource/Health_in_Tristan_da_Cunha http://dbpedia.org/resource/Demographics_of_Tristan_da_Cunha http://dbpedia.org/resource/Telecommunications_in_Tristan_da_Cunha http://dbpedia.org/resource/Tristan_da_Cuhna http://dbpedia.org/resource/Economy_of_Tristan_da_Cunha http://dbpedia.org/resource/Tristan_Da_Cunha http://dbpedia.org/resource/Tristan_da_cunha http://dbpedia.org/resource/Hinduism_in_Tristan_da_Cunha http://dbpedia.org/resource/Climate_of_Tristan_da_Cunha http://dbpedia.org/resource/Tristan_Islanders http://dbpedia.org/resource/Tristan_da_Cunha_Islands http://dbpedia.org/resource/Tristan_da_Cunha http://dbpedia.org/resource/Languages_of_Tristan_da_Cunha http://dbpedia.org/resource/Tristan_de_Cunha http://dbpedia.org/resource/Tristanian http://dbpedia.org/resource/Education_in_Tristan_da_Cunha http://dbpedia.org/resource/Tristanians http://dbpedia.org/resource/Tristan_Da_Cunha_Island"
"1","94","Caribbean","http://dbpedia.org/resource/Cuba","http://dbpedia.org/resource/Geology_of_the_Caribbean http://dbpedia.org/resource/West_Indes http://dbpedia.org/resource/Carribean_Islands http://dbpedia.org/resource/West_Indies_Islands http://dbpedia.org/resource/West_Indian_Islands http://dbpedia.org/resource/Carribian http://dbpedia.org/resource/The_West_Indies http://dbpedia.org/resource/Carribeans http://dbpedia.org/resource/Geography_of_the_Caribbean http://dbpedia.org/resource/Caribbean_region http://dbpedia.org/resource/Caribbean http://dbpedia.org/resource/Western_Indies http://dbpedia.org/resource/Carribean_islands http://dbpedia.org/resource/Carribean http://dbpedia.org/resource/Caribbean_island http://dbpedia.org/resource/Caribbean_nation http://dbpedia.org/resource/Countries_of_the_Carribean http://dbpedia.org/resource/Caribean http://dbpedia.org/resource/The_Caribbean http://dbpedia.org/resource/Caribbea http://dbpedia.org/resource/Carribbean http://dbpedia.org/resource/Caribbean_integration http://dbpedia.org/resource/Caribbee_Islands"
"1","108","Armenia–Azerbaijan border","http://dbpedia.org/resource/Scottish_Borders","http://dbpedia.org/resource/Armenia–Azerbaijan_border http://dbpedia.org/resource/Armenia-Azerbaijan_border"
